name,specialty,location,consultation_fee,rating_score
Dr. Nivratti Adate,General Physician,Sinhagad Road,400.0,0.88
Dr. Jayprakash Shirpurwar,General Physician,Viman Nagar,,0.33
Dr. Avadhesh Sharma,General Physician,Baner,1000.0,0.67
Dr. Shailesh Gondane,General Physician,Pimple Saudagar,1500.0,1.0
Dr. Govind Kulkarni,General Physician,Viman Nagar,800.0,0.83
Dr. Mukesh Budhwani,General Physician,Viman Nagar,750.0,0.88
Dr. Pramod B. Umarji,General Physician,Baner,600.0,0.89
Dr. Rahul Chavan,General Physician,Baner,800.0,0.93
Dr. Shilpa Dane,General Physician,Pimpri-Chinchwad,600.0,0.85
Dr. Lt Col Shashi Bhushan,General Physician,Wakad,650.0,0.98
Dr. Narayan Survase,General Physician,Wakad,600.0,0.82
Dr. Lokesh Kumar,General Physician,Pimpri-Chinchwad,800.0,0.86
Dr. Ravindra Chhajed,General Physician,Market Yard,800.0,0.98
Dr. Abhijeet Baldota,General Physician,Aundh,800.0,0.96
Dr. Anupama Joshi,General Physician,Shivajinagar,800.0,1.0
Dr. Rachna Mogri,General Physician,Hadapsar,600.0,1.0
Dr. Piyush Lodha,General Physician,Shankar Shet Road,1000.0,0.97
Dr. Girish Singh,General Physician,Yerwada,500.0,0.94
Dr. (Colonel) A.K Mehta,General Physician,Magarpatta City,600.0,0.98
Dr. Mushfiya Bahrainwala,General Physician,Wanowrie,600.0,1.0
Dr. Suyash Gandhe,General Physician,Viman Nagar,800.0,1.0
Dr. Baset Hakim,General Physician,Viman Nagar,715.0,0.83
Dr. Anup Bhoyar,General Physician,Kharadi,800.0,0.97
Dr. Amit Sakaria,General Physician,Viman Nagar,800.0,0.94
Dr. Pournima Kulkarni,General Physician,Kothrud,1500.0,1.0
Dr. Nilanjan Banerjee,General Physician,Wanowrie,825.0,1.0
Dr. Satish Chavan,General Physician,Baner,1000.0,0.99
Dr. Anand Kalaskar,General Physician,Nigdi-Pradhikaran,750.0,0.88
Dr. Natasha Kumrah,General Physician,Kharadi,700.0,0.9
Dr. Gopal Jaju,General Physician,Kharadi,700.0,0.95
Dr. Prathamesh Teje,General Physician,Pimpri-Chinchwad,750.0,1.0
Dr. Madhukar Jadhav,General Physician,Alandi Road,400.0,0.85
Dr. Mahavir Bagrecha,General Physician,Pimpri-Chinchwad,700.0,0.98
Dr. Rajiv Kumar,General Physician,Viman Nagar,800.0,1.0
Dr. Kiran Sudhare,General Physician,Nigdi-Pradhikaran,1925.0,0.5
Dr. Komal Kulkarni,General Physician,Bavdhan,600.0,0.83
Dr. Devendra Satpute,General Physician,Pimpri-Chinchwad,1000.0,0.5
Dr. Abhijit Bagade,General Physician,Shankar Shet Road,1000.0,0.96
Dr. Nilesh Giri,General Physician,Pimpri-Chinchwad,1000.0,1.0
Dr. Priyanka Badhe,General Physician,Katraj,499.0,0.97
Dr. Kavita Ramnivas,General Physician,Hadapsar,500.0,0.8
Dr. Chanda Shyamrao Suvarnkar,General Physician,Shaniwar Peth,700.0,1.0
Dr. Kapil Patwardhan,General Physician,Nagar Road,880.0,0.86
Dr. Sujay Patil,General Physician,Shankar Shet Road,1000.0,1.0
Dr. Suman Bala,General Physician,Viman Nagar,600.0,1.0
Dr. Pratibha Yogesh Walde,General Physician,Kharadi,700.0,0.75
Dr. Shrishrimal Kavit Sohan,General Physician,Viman Nagar,700.0,0.5
Dr. Manoj Pawar,General Physician,Kharadi,800.0,1.0
Dr. Kishor Sharma,General Physician,Balewadi,300.0,0.85
Dr. Milind Kulkarni,General Physician,Vishrantwadi,700.0,0.94
Dr. Pankaj Changedia,General Physician,Kharadi,600.0,0.92
Dr. Anuj P Surana,General Physician,Kharadi,500.0,0.97
Dr. Saumya Singh,General Physician,Hinjewadi,500.0,1.0
Dr. Jyoti Gulati,General Physician,Aundh,1000.0,0.96
Dr. Manoj Naik,General Physician,Deccan Gymkhana,665.0,0.67
Dr. Vinod Midha,General Physician,Viman Nagar,550.0,0.94
Dr. Rama Joshirao Paranjape,General Physician,Karve Nagar,500.0,1.0
Dr. Ravindra Singh,General Physician,Pimpri-Chinchwad,700.0,1.0
Dr. Prafull Warghane,General Physician,Wakad,800.0,0.93
Dr. Mukesh Mahajan,General Physician,Keshav Nagar,500.0,0.99
Dr. Rajkumar Gautam Nikalje,General Physician,Nigdi-Pradhikaran,500.0,0.9
Dr. Sunayana Shinde,General Physician,Kharadi,500.0,1.0
Dr. Ravi Pratap,General Physician,Kharadi,700.0,0.99
Dr. Gaurav Chaudhary,General Physician,Balewadi,600.0,0.97
Dr. Chinmay Naik,General Physician,Sadashiv Peth,1000.0,0.99
Dr. Sanjay Dudhavade,General Physician,Junnar,100.0,1.0
Dr. Kalpana Chhajed,General Physician,Market Yard,700.0,1.0
Dr. Pankhuri Agarwal,General Physician,Pimpri-Chinchwad,400.0,1.0
Dr. Palve Amit Hanumanrao,General Physician,Kharadi,600.0,0.75
Dr. Sheetal Mahajani,General Physician,Nagar Road,845.0,0.5
Dr. Dhakane Anupama Gangaram,General Physician,Viman Nagar,700.0,1.0
Dr. Grishma G. Ganeshwala,General Physician,Kharadi,500.0,0.5
Dr. Mohan Nalawade,Dermatologist,Aundh,700.0,0.92
Dr. L K Desai,Dermatologist,Sopan Baug,700.0,0.93
Dr. Pooja Malekar,Dermatologist,FC Road,600.0,0.88
Dr. Avinash Urmil,Dermatologist,Wanowrie,700.0,0.79
Dr. Amit Pal,Dermatologist,Pimple Saudagar,600.0,0.97
Dr. Renu Jadhav,Dermatologist,Hadapsar,700.0,0.91
Dr. Satywan Chaure,Dermatologist,Deccan Gymkhana,700.0,0.9
Dr. Rangoli Jirwankar,Dermatologist,Wagholi,1000.0,0.82
Dr. Vijay Nagdev,Dermatologist,Pimpri-Chinchwad,1200.0,0.92
Dr. Pooja Tilwani,Dermatologist,Pimple Saudagar,1200.0,0.94
Dr. Drashti Devani,Dermatologist,Pimple Saudagar,600.0,0.78
Dr. Anupama,Dermatologist,Hinjewadi,600.0,1.0
Dr. Rachana Raj,Dermatologist,FC Road,600.0,1.0
Dr. Sonal Chavan,Dermatologist,Pimple Saudagar,800.0,0.89
Dr. Nitin Jain,Dermatologist,Kothrud,800.0,0.96
Dr. K R Chandvania,Dermatologist,Pimpri-Chinchwad,1000.0,0.82
Dr. Pradeep Kumari,Dermatologist,Viman Nagar,800.0,0.95
Dr. Hina Kherajani,Dermatologist,Pimple Saudagar,800.0,0.95
Dr. Rohan Anand,Dermatologist,Koregaon Park,1000.0,0.91
Dr. Arti Sutrawe-Bhasme,Dermatologist,Kharadi,700.0,0.97
Dr. Varsha Rangari,Dermatologist,Pimple Saudagar,700.0,0.92
Dr. Mohan Darbastwar,Dermatologist,Viman Nagar,1000.0,0.96
Dr. Sumit Parsewar,Dermatologist,Baner,800.0,0.98
Dr. Patil Leena Rajendra,Dermatologist,Kharadi,500.0,0.96
Dr. V J Tannu,Dermatologist,Budhwar Peth,800.0,0.84
Dr. Amit S Murkute,Dermatologist,Wakad,800.0,0.94
Dr. Gautam Kumar Singh,Dermatologist,Undri,700.0,1.0
Dr. Rajshree Patil,Dermatologist,Aundh,700.0,0.9
Dr. Renuka Vinod Nalawade,Dermatologist,Bavdhan,600.0,0.99
Dr. Shuhaib MP,Dermatologist,Baner,700.0,0.99
Dr. Poonam Patil,Dermatologist,Koregaon Park,800.0,0.91
Dr. Madhavi Zende,Dermatologist,Wakad,700.0,0.89
Dr. Mamta Patil,Dermatologist,Wakad,600.0,0.79
Dr. Shveta Sharma,Dermatologist,Kharadi,900.0,0.93
Dr. Karuna Soni,Dermatologist,Baner,1000.0,0.98
Dr. Jayshree Ahuja,Dermatologist,Baner,800.0,1.0
Dr. Hetal Jobanputra,Dermatologist,Baner,800.0,0.97
Dr. Rashmi Gujalwar,Dermatologist,Pimple Saudagar,700.0,0.96
Dr. Tanuja Tamhankar,Dermatologist,Erandwane,600.0,0.95
Dr. Nandini Teli,Dermatologist,Wakad,1000.0,0.91
Dr. Snehal Navande,Dermatologist,Baner Road,750.0,0.89
Dr. Pradeep Patil,Dermatologist,Baner,875.0,0.99
Dr. Solanki Hemalata Suresh,Dermatologist,Kalyani Nagar,900.0,1.0
Dr. Arshi Farista,Dermatologist,Kharadi,750.0,0.71
Dr. Amol Bhandkar,Dermatologist,Kharadi,600.0,0.96
Dr. Madhur Eshwar Rao Basude,Dermatologist,Nigdi-Pradhikaran,750.0,0.78
Dr. Sonawane Nilima Rames,Dermatologist,Wakad,600.0,0.95
Dr. Gauri Patil,Dermatologist,Wakad,700.0,0.92
Dr. Varun Shrivastava,Dermatologist,Viman Nagar,800.0,1.0
Dr. Divya,Dermatologist,Kharadi,900.0,0.8
Dr. Madhavi Krishnarao Salunkhe,Dermatologist,Shivajinagar,900.0,1.0
Dr. Rupal Phate,Dermatologist,Kalyani Nagar,900.0,1.0
Dr. Shilpa Mary Shaji,Dermatologist,Kalyani Nagar,900.0,0.96
Dr. Nitin Maske,Dermatologist,Baner Road,600.0,0.94
Dr. Inderpreet Mahendra,Dermatologist,Viman Nagar,700.0,0.92
Dr. Keerti Verma,Dermatologist,Shivajinagar,900.0,1.0
Dr. Praneet Awake,Dermatologist,Baner,600.0,0.82
Dr. Amrin Jibrail Diwan,Dermatologist,Kalyani Nagar,900.0,0.97
Dr. Shruti Dewang,Dermatologist,Baner,600.0,1.0
Dr. Mayank Lagoo,Dermatologist,Kalyani Nagar,900.0,0.88
Dr. Ramagauri Pawar,Dermatologist,Kalyani Nagar,900.0,1.0
Dr. Sadhana Jadhavar,Dermatologist,Pimpri-Chinchwad,400.0,0.93
Dr. Vaishalee Kirane,Dermatologist,Pimpri-Chinchwad,1000.0,0.9
Dr. Gunjan Chavan,Dermatologist,Pimple Saudagar,600.0,0.96
Dr. Anagha Dudhbhate,Dermatologist,Erandwane,800.0,0.98
Dr. Rashmi Soni Lohiya,Dermatologist,Senapati Bapat Marg,700.0,0.91
Dr. Aarushi Kinjalk,Dermatologist,Viman Nagar,700.0,1.0
Dr. Silky Priya,Dermatologist,Wanwadi,400.0,0.86
Dr. Abdul Mateen M Ayyub,Dermatologist,Wanowrie,650.0,0.96
Dr. Sanvedana M Danej,Dermatologist,Baner,,0.92
Dr. Amit Kothekar,Dermatologist,Wakad,700.0,0.85
Dr. Poonam Naphade,Dermatologist,Aundh,750.0,0.96
Dr. Shravani Patil,Dermatologist,Wakad,600.0,1.0
